Organisation,Area,Borough,Services,Website,Clients,Days,Telephone,Process,Email
Children's Society,East,Newham,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,"Refugee/Migrant Families 
Destitute/at risk of destitution",N/A,020 8221 8215/07720 940561,Email to refer,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,South,Croydon,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,"Refugee/Migrant Families 
Destitute/at risk of destitution",N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,South,Lewisham,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,"Refugee/Migrant Families 
Destitute/at risk of destitution",N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,East,Hackney,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,"Refugee/Migrant Families 
Destitute/at risk of destitution",N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Community Link,East,Newham,Housing,http://www.community-links.org/local-services/advice/,Status,"Mon, Tues, Wed, Thurs am",020 7473 2270,Drop-in (arrive by 8.30am),
Community Link,East,Newham,Private Housing Advice,http://www.community-links.org/local-services/advice/,Status,Wednesdays pm,020 7473 2270,"Legal Drop-in (arrive by 3.30pm, + waiting)",
"Crisis - Private Renting 
Project search",N/A,N/A,Private Renting,http://www.crisis.org.uk/find-pr-scheme.php,Status,N/A,N/A,Search for a private rented project on website,
Crisis Skylight London,East,Tower Hamlets,Private Housing Scheme,http://www.crisis.org.uk/pages/what-we-offer-at-crisis-skylight-london.html,"Status (working and/or on 
benefits), single",Mon- Fri 3pm,0300 636 1967,Drop in weekdays at 3pm (Arrive just before),
Croydon Reach,South,Croydon,Housing,http://www.thamesreach.org.uk/what-we-do/rough-sleeper-services/croydon-reach/,Rough sleepers in Croydon,All,0870 383 3333,"Call or email to refer. Self-referral 
also possible.",croydon_reach@thamesreach.org.uk
"Embrace UK Community
 Support Centre",North,Haringey,Housing,http://www.embraceuk.org/advice.php,"Refugees/Migrants/
Asylum Seekers",Mon-Fri,0208 275 4526/ 0208 801 9224,Appointments - call in advance.,yonas@embraceuk.org / post@embraceuk.org
Grazing Hill Law Partners,North,Islington,Housing advice,http://grazinghill.co.uk/home/3137949,Eligable for legal aid,Wednesday,020 7354 1444 ,Drop-in on Wed. Call for details.,info@grazinghill.com 
Haringey Law Centre,North,Haringey,Housing,http://haringeylawcentre.org.uk/,Status,N/A,020 8808 5354,,tottenhamlawcentre@tiscali.co.uk
"Hope Worldwide (Two 
Step London)",East,Old Street,Homelessness Advice,http://hopeworldwide.org.uk/AboutUs.asp,,N/A,020 7713 7655,Call for appointment,rob.payne@hopeworldwide.org.uk
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Housing advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,Fridays,"020 8572 1082 
(telephone advice line)","Drop-in (arrive 9.30 for 10 open) at 
Heston Fam Community Centre, 
TW5 0UP",
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Housing advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,"Mon, Wed, Thurs","020 8572 1082 
(telephone advice line)","Drop-in (arrive 9.30am for 10am open) 
Brentford and Chiswick CAB.",
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Housing advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,Thursday,2088922424,"Call for appointment (Bridgelink Centre, 
Summerwood Rd, Iselworth, TW7 7QU",
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Housing advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,"Tues, Thurs, Fri","020 8572 1082 
(telephone advice line)","Drop-in (arrive 9.30am for 10am open) 
Feltham CAB",
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Housing advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,Wednesday am,"020 8572 1082 
(telephone advice line)","Drop-in (arrive at 9 for 9.30 open) at 
Montague Hall, Hounslow, TW3 1LD",
Housing Justice,All,All,Hosting,www.housingjustice.org.uk,All,N/A,020 3544 8094,Call to refer,hosting@housingjustice.org.uk
Islington Law Centre,North,Islington,Housing Advice,http://www.islingtonlaw.org.uk/legal-services/housing/,"Live, work, study in Islington",All,020 7288 7630,Call for an appointment,
Islington Law Centre,North,Islington,"Council tenant 
Housing Advice",http://www.islingtonlaw.org.uk/legal-services/housing/,Islington Council Tenants,All,020 7527 5300,Call for an appointment,
Islington Law Centre,North,Islington,Landlord-tenant disputes,http://www.islingtonlaw.org.uk/projects/evening-advice-sessions/,"Live, work, study in Islington","Mon, Tues, Wed eves",020 7288 7633,"Appointment only. Call or email for 
an appointment.",eveningadvice@islingtonlaw.org.uk
"Islington Law Centre
 (outreach - Caledonian 
Connect)",North,Islington,Housing advice,http://www.islingtonlaw.org.uk/wp-content/uploads/2016/04/TAP-Housing.pdf,"Live, work, study in Islington",Thursdays pm,"020 7288 7630/020 3227 0077/ 
020 7837 0056",Call for an appointment,
"Islington Law Centre 
(outreach - Essex Rd)",North,Islington,Housing advice,http://www.islingtonlaw.org.uk/wp-content/uploads/2016/04/TAP-Housing.pdf,"Live, work, study in Islington",Wednesdays am,020 7288 7630/020 3227 0077,Call for an appointment,
"Islington Law Centre 
(outreach)",North,"Islington 
(Finsbury Park)",Housing advice,http://www.islingtonlaw.org.uk/wp-content/uploads/2016/04/TAP-Housing.pdf,"Live, work, study in Islington",Mondays pm,020 7288 7630/020 3227 0077,Call for an appointment,
Latin American House,North,Brent/Camden,Housing advice,http://www.casalatina.org.uk/en/,"Spanish/Portugese 
speaking clients",N/A,020 7372 5244,Call for details,info@casalatina.org.uk
"Lewisham Multi-Lingual 
Advice Service",South,Lewisham,Housing advice,http://www.advicelewisham.org.uk/lewisham-multi-lingual-advice-service/,All,,,,
"Lewisham Refugee & 
Migrant Network",South,Lewisham,Housing advice,http://www.advicelewisham.org.uk/lewisham-refugee-migrant-network/,Lewisham residents,,,,
Mary Ward Legal Centre,North,"Camden 
(Holborn)",Housing advice,http://www.marywardlegal.org.uk/,Status,All,2078317079,"Call between 10am-1pm to make 
appointment",
"Parish of Old St Pancras 
(St Michael's Church)",North,Camden,Legal Housing Advice,http://www.posp.co.uk/legal-drop-in/,All,Wednesdays pm,020 7424 0724,"Drop-in (arrive before 6pm to register) 
Osbournes sols attend",
Praxis,East,Tower Hamlets,Housing advice,http://www.praxis.org.uk/advice-&-information-page-37.html,All,Tuesdays,020 7729 7985,"Drop-in (arrive 9.30 for 10 open) at 
Pott Street, E2 0EF",advice@praxis.org.uk
Project 17,North,Haringey,Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Monday,07963 509 044,"Drop-in , 1st Mon of the month",info@project17.org.uk
Project 17,North,Islington (Holloway),Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Tuesday,07963 509 044,07963 509 044 to book appointment,info@project17.org.uk
Project 17,North,Islington (Holloway),Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Wednesday,07963 509 044,07963 509 044 to book appointment,info@project17.org.uk
Project 17,East,Hackney (Stoke Newington),Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Wednesday,07963 509 044,"Drop-in, 3rd Wed of the month",info@project17.org.uk
RAMFEL,East,"Essex/East 
London",Housing advice,http://www.ramfel.org.uk/wordpress/housing-homelessness/,All,All,020 8478 4513,Refer online,appointment@ramfel.org.uk
Refugee Action,London,All,NASS/Homelessness,http://www.refugee-action.org.uk/get_help_advice/asylum_support_and_homelessness,Asylum Seekers,N/A,020 7952 1599,Email referral,nicolettem@refugee-action.org.uk
Refugee and Migrant Network Sutton,South,Sutton,Housing advice,http://www.rmns.org.uk/what-we-offer.html,All,"Drop-in centre every Wednesday from 10.00 to 12.00 at Trinity Church Hall Hill Road, Sutton
SM1 1DZ","Advice Worker Lucy: 
020 8644 4374 or 
07516 175662 to 
make an appointment
or by e-mail:
advice@rmns.org.uk",Drop-in or make an appointment,advice@rmns.org.uk.
"Renewal Refugee 
and Migrant Project",East,Newham,Housing/NASS,http://www.renewalprogramme.org.uk/refugee-and-migrant-project.html,All,N/A,020 8471 6954,Call for appointment 020 8471 6954,cath.woodall@renewalprogramme.org.uk
Salvation Army,All,N/A,"Homelessness/Housing 
Support",http://www.salvationarmy.org.uk/map-page,All,N/A,(020) 7367 4500,http://www.salvationarmy.org.uk/contact-us#Local,info@salvationarmy.org.uk
St Mungos,London,All,Homelessness,http://www.mungos.org/services/preventing_homelessness,Homeless,N/A,020 3856 6000,"All referrals made through Streetlink
 (0300 500 0914)",Info@MUNGOS.ORG
Streetlink,All,All,Homelessness,http://www.streetlink.org.uk/,Homeless,N/A,0300 500 0914,Call to refer,info@streetlink.org.uk
"The Amari Project (Solace
 Women's Aid)",All,All,2nd stage accomodation,solacewomensaid.org,Status,N/A,0203 874 5027,Email referral,amari@solacewomensaid.org
The Welcome Project,East,Redbridge,Housing advice,http://www.rcmh.org.uk/index.php?nuc=organisations&func=view&id=9&item=214,Homeless,Tuesday to Friday 10-3,0208 514 3283.,Day centre - nurses,
Z2K,West,Westminster,Housing,http://z2k.org/free-help-advice/z2k-advice-drop-in-sessions/,Status,Monday,0207 259 0801,Drop-in (can call in advance),matthewahluwalia@z2k.org
Z2K,South West,Westminster,Housing,http://z2k.org/free-help-advice/z2k-advice-drop-in-sessions/,Status,Monday,0207 259 0801,Drop-in (can call in advance),matthewahluwalia@z2k.org
Z2K,North,Barnet,Housing,http://z2k.org/free-help-advice/z2k-advice-drop-in-sessions/,Status,Wednesday,0207 259 0801,Drop-in (can call in advance),matthewahluwalia@z2k.org
New Horizon Youth Centre,Central,Camden,Housing,http://nhyouthcentre.org.uk/,Young people - 16-25,N/A,020 7388 5560,Contact for information,info@nhyouthcentre.org.uk
