Organisation,Area,Borough,Services,Website,Clients,Day,Tel,Process,Email
999 Club,South East,Deptford,Winter Night Shelter,http://999club.org/our-services/winter-night-shelter/,Homeless/Hostel/Risk of eviction,,020 8694 5797,Call for info,office@999club.org
999 Club,South East,Deptford,Homelessness advice,http://999club.org/our-services/advice-and-support/,Homeless/Hostel/Risk of eviction,Mon - Fri,020 8694 5797,Drop-in 10.30am Mon- Fri,office@999club.org
Children's Society,All,All,Advocacy,http://www.childrenssociety.org.uk/what-we-do/helping-children/destitution-project,"14-21 yr old migrants, 
desitute/at risk of homelessness",N/A,020 8221 8215/07720 940 561,Email to refer,Astrid.Paluzzi@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,East,Newham,Families,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,Refugee/Migrant Families,N/A,020 8221 8215/07720 940561,Email to refer,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Praxis,East,Tower Hamlets,Housing for homeless,http://www.praxis.org.uk/advice-&-information-page-37.html,All,All,020 7729 7985,"Email referral form saved on 
drive to advice@praxis.org.uk",Mel.Steel@praxis.org.uk
"Haringey Migrant Support 
Centre",North,Haringey,"Food, advice, social",http://haringeymsc.org.gridhosted.co.uk/visiting-us/,AS/Refugees,Mondays,7544078332,"Drop-in 1-3pm (call to check 
accepting new clients)",info@haringeymsc.org
Red Cross,East,Hackney,Destitution Payments,www.redcross.org.uk,Destitute R/AS,N/A,0207 704 5670,Email referral form saved on drive,londonhdrc@redcross.org.uk
Children's Society,East,Newham,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/stand-by-me,As/Refugees 16-21,N/A,020 8221 8215/07720 940561,Email to refer,Christine.Bonney@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,East,Newham,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,"Refugee/Migrant Families Destitute/
at risk of destitution",N/A,020 8221 8215/07720 940561,Email to refer,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,South,Croydon,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,"Refugee/Migrant Families Destitute/
at risk of destitution",N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,South,Lewisham,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,"Refugee/Migrant Families Destitute/
at risk of destitution",N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,East,Hackney,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,"Refugee/Migrant Families Destitute/
at risk of destitution",N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
"Missionaries of Charities Soup
 Kitchen",West,Ladbroke Grove,Food,,,,020 8960 2644,,
"Missionaries of Charities Soup
 Kitchen",South East,Elephant and Castle,Food,,,,020 8960 2644,,
Refugee Action - Street Legal,All,All,Homelessness Support,,,,,Contact Sanjeev to refer,
Re-Place,South West,Lambeth,"Accommodation, floating
 support, emotional/
health support, financial 
assistance",http://hfw.org.uk/contact-us,Trafficked Women,Mon-Fri,020 7501 6120 / 02075016135,"Special Projects Manager- 
02075016135 / s
amina.yaqub@h4w.co.uk",info@h4w.co.uk / samina.yaqub@h4w.co.uk
"Family Action: Islington & 
Camden Young Carers' Service",North,Islington and Camden,"Home visits, advice, help with 
sch problems, advocacy, 
counselling",http://www.izzy-info.com/kb5/islington/enterprise/service.page?id=IVpHDQFq_H0&youthchannel=10,Young carers,N/A,020 7272 6933,Email to refer,"[icyc@family-action.org.uk, rachel.leah@family-action.org.uk]"
Asylum Help Services,All,All,"Advice and support with 
applications",http://asylumhelpuk.org/,AS,Monday - Friday: 08:30 - 17:30,"0808 8000 630 for Asylum Adivce UK, 0808 8000 631 for Asylum Support Application UK",Call,
Barnet Refugee Service,North,Barnet,"Advice, health, support",http://www.b-r-s.org.uk/,Refugees,Various,0208 90590002,Email to refer,advice@b-r-s.org.uk
BRS - Sowing Seed Project,North,Barnet,Ecotherapy,https://www.facebook.com/brs.coordinator/posts/1472572623047056:0,Refugees,Monday and Friday,020 89059002 or 07508796169,Call (Farida Stanikzai),
"BRS - Asian Women's 
Resource Centre",North,Barnet,One-to-one advice sessions,http://www.asianwomencentre.org.uk/,Asian women,Tuesday 2-5pm,020 8961 6549,Call or email,referrals@asianwomencentre.org.uk
Rights of Women,All,City of London,Advice line,http://rightsofwomen.org.uk/,"Women AS, refugees",Mon and Thurs,"02074907689 - telephone, 020 7490 2562 - textphone","Phone/text/website for 
free legal guides",
"Missionaries of Charity Gift 
of Love",South East,Southwark,"Accommodation, 
resettlement support",http://www.homelessuk.org/details.asp?id=HO1000457,Single homeless men aged 25+,N/A,020 7620 1504,"Take enquiries from 4pm 
all days except Thurs &Sun",
"Catholic Workers Giuseppe 
Conlon House",North,Islington,Accommodation,http://www.londoncatholicworker.org/gchouse.html,Homeless men,N/A,"020 8348 8212, or Johannies on 07436 854 544",Call,
"Missionaries of Charity Home 
and Peace",North,Camden,Accommodation,http://www.homelessuk.org/details.asp?id=HO1000441,Homeless women aged 18-60,,020 8960 2644,"Phone 3pm-5.30pm, except 
Thurs, to check vacancies",
Just Homes,East,Newham,Accommodation/support,http://justhomes.org.uk/,"Homeless women with 
children or pregnant",,020 8519 1454 ,"Referral form on 
website: 
http://justhomes.org.uk/?page_id=14",info@justhomes.org.uk
Catholic Workers Farm,All,,Accommodation/support,http://thecatholicworkerfarm.org/web/,Homeless women,, 01923 777201 / 07983477819,"Call or email form (downloadable 
from website: 
http://thecatholicworkerfarm.org/web/referrals/)",thecatholicworkerfarm@yahoo.co.uk
Shelter from the storm,All,Islington,Accommodation,http://sfts.org.uk/,Homeless people,,020 7697 9569,Email referral form (http://sfts.org.uk/referrals/), refer@sfts.org.uk
Spare Room,All,All,Hosting service,http://www.spare-room.org/,Refugees,,07950 571256,Email to refer, hostmigrants@yahoo.co.uk
Nightstop,All,All,Hosting service,https://uk.depaulcharity.org/NightstopUK,Homeless age 16-25,,020 7939 1234,Email,depaul@depaulcharity.org.uk
NACCOM,East,Tower Hamlets,Drop in Advice,http://naccom.org.uk/,Migrants w/o public funds,Mon-Fri 10-4,0207 729 7985,Drop in, office@naccom.org.uk
Rainbow Health Centre,South West,Croydon,Advice,http://www.gettingiton.org.uk/agency.asp?borough=1&service=0&postcode=&id=863,,Mon-Fri 9-5,020 8251 9280,Drop in/call,
Bromley Refugee Day Centre,South East,Bromley,"Advive, integration training",http://www.refugeecouncil.org.uk/services/2888_bromley_refugee_day_centre,Refugees,,020 8778 7014,Call,CHRISTOPHERMEZZETTI@BTINTERNET.COM
Refugee Health Team,South,"Lambeth, Southwark
& Lewisham",Primary healthcare services,www.threeboroughs.nhs.uk,"Refugees, AS, new migrants",Mon-Fri 9-5,020 3049 4700,Call,rhtlsl.admin@lambethpct.nhs.uk
"Wandsworth Health team for 
AS, refugees and migrants",South West,Wandsworth,Primary healthcare services,http://wandsworth.childrensservicedirectory.org.uk/kb5/wandsworth/fsd/service.page?id=se3Ifi5xQNQ,"Refugees, AS, new migrants",Mon-Fri 9-5,020 8871 5176,Call,wandsworth.ccg@wandsworthccg.nhs.uk
"Manor Gardens Health 
Advocacy Project",North West,Islington and Camden,"Support, FGM advice",http://www.manorgardenscentre.org/,Refugees/migrants,,020 7561 5263,Call/email, admin@manorgardenscentre.org
The Sanctuary Practice,North,Hackney,Healthcare,http://www.nhs.uk/Services/gp/Overview/DefaultView.aspx?id=37222,All,Mon-Fri,0207 6834765,Call,
"Newham New Entrant Service 
& Transitional Practices",East,Newham,Primary healthcare services,https://www.elft.nhs.uk/service/200/Newham-Transitional-Practice---Main-Site,"Homeless, refugees",Mon-Fri 8-6.30,020 8553 7460,Call to refer,
UKLGIG,All,Southwark,"Advice, referrals, social
 support projects",http://uklgig.org.uk/,LGBTI AS,"Monthly legal meetings, 
Mon-Fri helpline",020 7922 7811,Call helpline or attend,
Asylum Seekers Drop-in,All,Barnet,"Advice, essentials",http://www.nnls-masorti.org.uk/page.php?ID=83,Destitute Asylum Seekers,every Sunday from 2-5pm,e-mail: Dropin@nnls-masorti.org.uk,Drop in,Dropin@nnls-masorti.org.uk
Alone in London,East,Camden,"Advice on mediation &
homelessness prevention",http://www.aloneinlondon.org/,"Homeless/ At Risk of 
Homelessness age 16-25",Drop in Mon-Fri: 9am-12.15pm,020 7278 4224,Drop-in/ Call or email for appointment,enquiries@als.org.uk
Spires,South,Wandsworth,"Advice and support, Rough Sleepers space, Women's space and key worker, nurse and chiroprodist",http://www.spires.org.uk/,Homeless/At Risk,"Mon-Fri, different times",0208 696 0943,Drop-in/ Call or email for appointment,Online form
New Horizon Youth Centre,Central,Camden,Homelessness advice,http://nhyouthcentre.org.uk/,Young people - 16-25,N/A,020 7388 5560,Contact for information,info@nhyouthcentre.org.uk
