Organisation,Area,Borough,Services,Website,Clients,Days,Telephone,Process,Email
Refugee Council,N/A,N/A,Adviceline,http://www.refugeecouncil.org.uk/contact,Children,All,020 7346 1134,children@refugeecouncil.org.uk,
Children's Society,East,Tower Hamlets,Advocacy,http://www.childrenssociety.org.uk/what-we-do/helping-children/independent-advocacy-services,Disabled YP,N/A,020 8221 8200,Call to refer,
Children's Society,All,All,Holistic Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/rise-project,Trafficking Boys 11-25,N/A,020 8221 8222 /Carly Adams 020 8221 8200,Email to refer,carly.adams@childrenssociety.org.uk/lucy.leon@childrenssociety.org.uk
Children's Society,East,Newham,Holistic Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/stand-by-me,As/Refugees 16-21,N/A,020 8221 8215/07720 940561,Email to refer,Christine.Bonney@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,East,Newham,Holistic Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,Refugee/Migrant Families Destitute/at risk of destitution,N/A,020 8221 8215/07720 940561,Email to refer,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,South,Croydon,Holistic Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,Refugee/Migrant Families Destitute/at risk of destitution,N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,South,Lewisham,Holistic Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,Refugee/Migrant Families Destitute/at risk of destitution,N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Children's Society,East,Hackney,Holistic Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/family-voice,Refugee/Migrant Families Destitute/at risk of destitution,N/A,020 8221 8215/07720 940561,,claire.mcguinness@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Migrant Children's Project,All,All,Telephone Adviceline,www.childrenslegalcentre.com,Migrant families,Mon- Fri,020 7636 8505,Call between 10am-6pm,
Rights of Women,All,All,"Telephone Adviceline (immigration, family)",http://rightsofwomen.org.uk/,Women,Mon-Thurs,020 7490 7689 (immigration)/020 7251 6577 (family),Call for advice,
Children's Society,All,All,Advocacy,http://www.childrenssociety.org.uk/what-we-do/helping-children/destitution-project,"14-21 yr old migrants, desitute/at risk of homelessness",N/A,020 8221 8215/07720 940 561,Email to refer,Astrid.Paluzzi@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
Latin American House,North,Kilburn,Family Law Advice,http://www.casalatina.org.uk/en/legal-and-social-advice/family-law.html,Latin American Cls,Wednesday pm,020 7372 5244,Call for appointment,info@casalatina.org
Carers Trust,All,All,Emotional/practical/financial support to carers,https://carers.org/,Carers,N/A,07773 047998,Contact specific borough's carers org,Moira Wilkinson <mwilkinson@carers.org>
Alone in London,East,Camden,Advice on mediation and homelessness prevention,http://www.aloneinlondon.org/,Homeless/ At Risk of Homelessness age 16-25,Drop in Mon-Fri: 9am-12.15pm,020 7278 4224,Drop-in/ Call or email for appointment,enquiries@als.org.uk
Latin American House,North,Brent/Camden,Welfare advice/creche/Saturday school,http://www.casalatina.org.uk/en/,Spanish/Portugese speaking clients,N/A,020 7372 8653,Call for details,info@casalatina.org.uk
Family Information Service,N/A,Nationwide,Information on local services,Search by region,Families,N/A,N/A,Search by region,N/A
Early Help Hounslow,West,Hounslow,Advice on all aspects of family life,http://fsd.hounslow.gov.uk/kb5/hounslow/fsd/service.page?id=OXP3DOlRCMY#contact_details,Families in Hounslow with child age 0-19,N/A,020 8583 6600 option 1,Contact for details,earlyhelp@hounslow.gov.uk
Strategic Legal Fund for Young Migrants,London,London,Legal work on discrimination,http://strategiclegalfund.org.uk/about/,Migrants and children of migrants under 25,N/A,Project Manager Gerry Hickey: Gerry Hickey,Apply online on their website,SLF@migrationwork.org
XLP,London,Across London,"Arts, Education, Mentoring and Advocacy",http://www.xlp.org.uk/,Young people - any,N/A,2072566240,Contact for information,info@xlp.org.uk
New Horizon Youth Centre,Central,Camden,"Legal, housing, benefits, jobs, education",http://nhyouthcentre.org.uk/,Young people - 16-25,N/A,020 7388 5560,Contact for information,info@nhyouthcentre.org.uk
