Organisation,Area,Borough,Services,Website,Clients,Day,Telephone,Process,Email
Refugee Council,South,Croydon,Science Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Tuesday pm,,,
Refugee Council,South,Croydon,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Wednesday pm,,,
Refugee Council,South,Croydon,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Thursday am,,,
Bristol University,Bristol,Bristol,Scholarships for asylum seekers and refugees who want to study at university (from undergraduate to PhD,http://www.bristol.ac.uk/fees-funding/awards/sanctuary-scholarship/,Refugees/AS,,,,
All Saints Educational Trust,Central,City of London,"Grants for teachers or those intending to become teachers and students in Religious Studies, Home Economics and related subjects.",http://www.aset.org.uk/about.html#about,"Students who wish to 
become R.S/ Home 
Economics teachers",,"020 7248 8380
","Complete the full application 
form via the website.",
"Cara (Council for Assisting 
Refugee Academics)",South,Southwark,Grants provided for refugee academics who have been employed as a lecturer/researcher at a University in their home country.,http://www.cara.ngo/,Refugee lecturers/ researchers,,0207 021 0880,"Call or email info@cara.ngo for 
more information on referrals.",
Latin American House,North,Brent/Camden,Spanish Saturday School,http://www.casalatina.org.uk/en/,"Spanish/Portugese speaking 
clients",N/A,020 7372 8653,Call for details,spanishschool@casalatina.org.uk
Family Information Service,N/A,Nationwide,Information on local services,Search by region,Families,N/A,N/A,Search by region,N/A
"Toynbee Hall money 
support programme",East,Tower Hamlets,"Advice on financial services, personal budgeting support service",http://www.toynbeehall.org.uk/help-managing-your-money,Anyone,Tuesday and Wednesday 10:00am - 1:00pm,020 7392 2989,,money@toynbeehall.org.uk
"Refugee and Migrant 
Network Sutton",South,Sutton,English classes,http://www.rmns.org.uk/what-we-offer.html,All,"Drop-in centre every Wednesday from 10.00 to 12.00 at Trinity Church Hall Hill Road, Sutton
SM1 1DZ",020 8644 4374,"Drop-in or make an appointment: 
Advice Worker Lucy: 020
 8644 4374 or 07516 175662 to 
make an appointment or by e
-mail: advice@rmns.org.uk.",advice@rmns.org.uk.
The Women's Day Centre,West,Westminster,"Advice, assistance, education and activities",http://www.churcharmy.org.uk/Groups/245015/Church_Army/ms/Marylebone_Archive/The_Womens_Day/The_Womens_Day.aspx,"Homeless/ with housing/ 
support needs","Mon - Thur: 9.30am-1.30pm, Fri: 9.30am-12.30pm",020 7262 3818,"For appointments, Tues/Thu 
10am -12pm, call or email. 
For drop-ins, see Column1",daycentre@churcharmy.org.uk
Breaking Barriers,Central and South,Farringdon/ Battersea,Employability workshops/placements,http://www.breaking-barriers.co.uk/,Refugees,drop in centre between 9am and 5pm every Thursday at John Morris House Community Centre SW11 1SW.,07908 801286,"phone or email stating name, contact telephone number and within 2 days an initial appointment will be made. or drop in centre","enquiries@breaking-barriers.co.uk,"
Kalayaan,West,Notting Hill,English classes and preparation for Life in the UK and SELTs tests,http://www.kalayaan.org.uk/about-us/what-we-do/,Migrant domestic workers,,0207 243 2942,,info@kalayaan.org.uk
Spires,South,Wandsworth,Adult learning classes,http://www.spires.org.uk/,Homeless/At Risk,"Mon-Fri, different times",0208 696 0943,Drop-in/ Call or email for appointment,Online form
Amicus Horizon,All,London and Surrey,"Community projects, classes and volunteering opportunities",http://www.amicushorizon.org.uk/Support/Get-Involved/London-and-Surrey-Skills-and-Support.aspx,All,Different times,0800 121 60 60,Contact Lola Oyewusi on 0800 121 60 60,contactus@amicushorizon.org.uk
Afghanistan and Central Asian Association,South,Deptford,ESOL,http://www.acaa.org.uk/education-and-training/esol-classes,All,Saturday 12:00-2:30,0208 4690723,"For ESOL, arrive at Albany Centre 15 minutes before class with proof of address",
English for Action,All,Across London,English classes,http://www.efalondon.org/,All,Various,07789 006248,Check where the classes take place in your area and try to find out the organisation has places,
New Horizon Youth Centre,Central,Camden,"Jobs, education",http://nhyouthcentre.org.uk/,Young people - 16-25,N/A,020 7388 5560,Contact for information,info@nhyouthcentre.org.uk
